,createDate,dateScanned,purchaseDate,pointsEarned,finishedDate,pointsAwardedDate,modifyDate,bonusPointsEarned,totalSpent,rewardsReceiptStatus,_id,bonusPointsEarnedReason,userId,purchasedItemCount
257,{'$date': 1610566825000},{'$date': 1610566825000},{'$date': 1610566825000},100.0,{'$date': 1610566826000},{'$date': 1610566826000},{'$date': 1610566826000},45.0,0.99,FINISHED,{'$oid': '5fff4ca90a720f05f300002a'},COMPLETE_PARTNER_RECEIPT,5fff4beedf9ace121f0c17ea,1.0
258,{'$date': 1610551180000},{'$date': 1610551180000},{'$date': 1610464780000},305.0,{'$date': 1610551180000},{'$date': 1610551180000},{'$date': 1610551180000},5.0,1.00,FINISHED,{'$oid': '5fff0f8c0a7214ad28006e32'},All-receipts receipt bonus,5fff0f4fb3348b03eb45abb0,1.0
259,{'$date': 1610557081000},{'$date': 1610557081000},{'$date': 1610409600000},750.0,{'$date': 1610557984000},{'$date': 1610557084000},{'$date': 1610557984000},750.0,50.00,FINISHED,{'$oid': '5fff26990a720f05f300000b'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fff2698b3348b03eb45bb10,5.0
260,{'$date': 1610557124000},{'$date': 1610557124000},{'$date': 1610496000000},5.0,{'$date': 1610557125000},{'$date': 1610557125000},{'$date': 1610557129000},5.0,22.00,FINISHED,{'$oid': '5fff26c40a720f05f3000014'},All-receipts receipt bonus,5fff26bfb3348b03eb45bb32,3.0
261,{'$date': 1610557143000},{'$date': 1610557143000},{'$date': 1610470743000},5.0,{'$date': 1610557149000},{'$date': 1610557143000},{'$date': 1610557149000},5.0,1.00,FINISHED,{'$oid': '5fff26d70a7214ad4c00000f'},All-receipts receipt bonus,5fff2698b3348b03eb45bb10,2.0
262,{'$date': 1610557126000},{'$date': 1610557126000},{'$date': 1610496000000},5.0,{'$date': 1610557126000},{'$date': 1610557126000},{'$date': 1610557131000},5.0,22.00,FINISHED,{'$oid': '5fff26c60a7214ad4c00000c'},All-receipts receipt bonus,5fff26bfb3348b03eb45bb32,1.0
263,{'$date': 1610551193000},{'$date': 1610551193000},{'$date': 1610464793000},50.0,{'$date': 1610551195000},{'$date': 1610551195000},{'$date': 1610551195000},45.0,1.00,FINISHED,{'$oid': '5fff0f990a7214ad28006e36'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
264,{'$date': 1610569326000},{'$date': 1610569326000},{'$date': 1610085600000},5.0,{'$date': 1610569326000},{'$date': 1610569326000},{'$date': 1610569326000},5.0,49.95,FINISHED,{'$oid': '5fff566e0a720f05f300003f'},All-receipts receipt bonus,5fff55dabd4dff11dda8f5f1,5.0
265,{'$date': 1610557169000},{'$date': 1610557169000},{'$date': 1613235569000},8700.0,,,{'$date': 1610557169000},,290.00,FLAGGED,{'$oid': '5fff26f10a7214ad4c000018'},,5fff2698b3348b03eb45bb10,10.0
266,{'$date': 1610566769000},{'$date': 1610566769000},{'$date': 1609443569000},5.0,{'$date': 1610566771000},{'$date': 1610566771000},{'$date': 1610566771000},5.0,1.00,FINISHED,{'$oid': '5fff4c710a7214ad4c00001d'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
267,{'$date': 1610569262000},{'$date': 1610569262000},{'$date': 1609446062000},5.0,{'$date': 1610569263000},{'$date': 1610569263000},{'$date': 1610569263000},5.0,1.00,FINISHED,{'$oid': '5fff562e0a720f05f300002f'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
268,{'$date': 1610566806000},{'$date': 1610566806000},{'$date': 1610480406000},91.2,{'$date': 1610566807000},{'$date': 1610566807000},{'$date': 1610566807000},,18.20,FINISHED,{'$oid': '5fff4c960a720f05f3000027'},,5fff4beedf9ace121f0c17ea,4.0
269,{'$date': 1610566781000},{'$date': 1610566781000},{'$date': 1610480381000},750.0,{'$date': 1610566782000},{'$date': 1610566782000},{'$date': 1610566782000},750.0,1.00,FINISHED,{'$oid': '5fff4c7d0a720f05f3000022'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fff4c7d61ffa811fdb0856f,1.0
270,{'$date': 1610659959000},{'$date': 1610659959000},{'$date': 1609536759000},5.0,{'$date': 1610659961000},{'$date': 1610659961000},{'$date': 1610659961000},5.0,1.00,FINISHED,{'$oid': '6000b8770a720f05f3000069'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
271,{'$date': 1610667185000},{'$date': 1610667185000},{'$date': 1610582400000},5.0,{'$date': 1610667185000},{'$date': 1610667185000},{'$date': 1610667190000},5.0,21.00,FINISHED,{'$oid': '6000d4b10a720f05f3000076'},All-receipts receipt bonus,6000d4abe2571211db395b5c,3.0
272,{'$date': 1610659972000},{'$date': 1610659972000},{'$date': 1610573572000},750.0,{'$date': 1610659972000},{'$date': 1610659972000},{'$date': 1610659972000},750.0,1.00,FINISHED,{'$oid': '6000b8840a720f05f300006c'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000b884fb296c121a81ad3b,1.0
273,{'$date': 1610659880000},{'$date': 1610659880000},{'$date': 1610344800000},5.0,{'$date': 1610659881000},{'$date': 1610659881000},{'$date': 1610659881000},5.0,49.95,FINISHED,{'$oid': '6000b8280a720f05f3000061'},All-receipts receipt bonus,6000b7aefb296c121a8198b1,5.0
274,{'$date': 1610659969000},{'$date': 1610659969000},{'$date': 1610573569000},50.0,{'$date': 1610659970000},{'$date': 1610659970000},{'$date': 1610659970000},45.0,1.00,FINISHED,{'$oid': '6000b8810a7214ad4c00005e'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
275,{'$date': 1610667149000},{'$date': 1610667149000},{'$date': 1610496000000},500.0,{'$date': 1610668051000},{'$date': 1610667151000},{'$date': 1610668051000},500.0,50.00,FINISHED,{'$oid': '6000d48d0a7214ad4c000063'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d46cfb296c121a81b20c,5.0
276,{'$date': 1610667184000},{'$date': 1610667184000},{'$date': 1610582400000},5.0,{'$date': 1610667184000},{'$date': 1610667184000},{'$date': 1610667189000},5.0,20.00,FINISHED,{'$oid': '6000d4b00a7214ad4c00006c'},All-receipts receipt bonus,6000d4abe2571211db395b5c,1.0
277,{'$date': 1610667219000},{'$date': 1610667219000},{'$date': 1509321600000},,,,{'$date': 1610667219000},,3.00,REJECTED,{'$oid': '6000d4d30a720f05f3000081'},,6000d46cfb296c121a81b20c,3.0
278,{'$date': 1610659965000},{'$date': 1610659965000},{'$date': 1610573565000},5.0,{'$date': 1610659966000},{'$date': 1610659966000},{'$date': 1610659966000},5.0,1.00,FINISHED,{'$oid': '6000b87d0a7214ad4c00005d'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
279,{'$date': 1610658494000},{'$date': 1610658494000},{'$date': 1610582400000},682.4,{'$date': 1610658502000},{'$date': 1610658502000},{'$date': 1610660204000},150.0,84.78,FINISHED,{'$oid': '6000b2be0a7214ad4c00004d'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5e27526d0bdb6a138c32b556,21.0
280,{'$date': 1610664006000},{'$date': 1610664006000},{'$date': 1610582400000},837.4,{'$date': 1610664015000},{'$date': 1610664015000},{'$date': 1610664017000},,101.75,FINISHED,{'$oid': '6000c8460a720f05f300006f'},,5e27526d0bdb6a138c32b556,21.0
281,{'$date': 1610667182000},{'$date': 1610667182000},{'$date': 1610582400000},100.0,{'$date': 1610667183000},{'$date': 1610667183000},{'$date': 1610667188000},100.0,20.00,FINISHED,{'$oid': '6000d4ae0a720f05f3000075'},"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d4abe2571211db395b5c,4.0
282,{'$date': 1610667178000},{'$date': 1610667178000},,,,,{'$date': 1610667178000},,0.00,FLAGGED,{'$oid': '6000d4aa0a720f05f3000072'},,6000d4aafb296c121a81b27e,0.0
283,{'$date': 1610660279000},{'$date': 1610660279000},{'$date': 1610582400000},237.8,{'$date': 1610660286000},{'$date': 1610660286000},{'$date': 1610660289000},,90.36,FINISHED,{'$oid': '6000b9b70a720f05f300006d'},,5e27526d0bdb6a138c32b556,21.0
284,{'$date': 1610634974000},{'$date': 1610634974000},{'$date': 1610548574000},160.0,{'$date': 1610634975000},{'$date': 1610634975000},{'$date': 1610634975000},25.0,2.00,FINISHED,{'$oid': '600056de0a720f05f3000049'},COMPLETE_NONPARTNER_RECEIPT,600056a3f7e5b011fce897b0,2.0
285,{'$date': 1610659887000},{'$date': 1610659887000},{'$date': 1610172000000},250.0,{'$date': 1610659887000},{'$date': 1610659887000},{'$date': 1610659887000},,49.95,FINISHED,{'$oid': '6000b82f0a720f05f3000063'},,6000b7aefb296c121a8198b1,5.0
286,{'$date': 1610656971381},{'$date': 1610656971381},,,,,{'$date': 1610656971381},,,SUBMITTED,{'$oid': '6000accd0a7214ad4c00004b'},,5a43c08fe4b014fd6b6a0612,
287,{'$date': 1610667137000},{'$date': 1610667137000},{'$date': 1610580737000},750.0,{'$date': 1610667140000},{'$date': 1610667138000},{'$date': 1610667145000},750.0,11.00,FINISHED,{'$oid': '6000d4810a720f05f3000070'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d46cfb296c121a81b20c,2.0
288,{'$date': 1610635012000},{'$date': 1610635012000},{'$date': 1610582400000},750.0,{'$date': 1610635013000},{'$date': 1610635013000},{'$date': 1610635017000},750.0,25.00,FINISHED,{'$oid': '600057040a7214ad4c000041'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60005704bd4dff11dda90a9d,6.0
289,{'$date': 1610667189000},{'$date': 1610667189000},{'$date': 1610582400000},5,,,{'$date': 1610667194000},5.0,10.00,REJECTED,{'$oid': '6000d4b50a720f05f3000078'},All-receipts receipt bonus,6000d4b5fb296c121a81b2bd,1.0
290,{'$date': 1610667194000},{'$date': 1610667194000},{'$date': 1610580794000},750.0,,{'$date': 1610667195000},{'$date': 1610667195000},750.0,1.00,FLAGGED,{'$oid': '6000d4ba0a720f05f300007a'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d4bae2571211db395b9f,1.0
291,{'$date': 1610663753595},{'$date': 1610663753596},,,,,{'$date': 1610663753596},,,SUBMITTED,{'$oid': '6000c74b0a7214ad4c000060'},,5a43c08fe4b014fd6b6a0612,
292,{'$date': 1610634966000},{'$date': 1610634966000},{'$date': 1610548566000},810.0,,{'$date': 1610634968000},{'$date': 1610634968000},750.0,13.00,FLAGGED,{'$oid': '600056d60a720f05f3000047'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600056d6bd4dff11dda90a3f,5.0
293,{'$date': 1610667152000},{'$date': 1610667152000},{'$date': 1609977600000},350.0,{'$date': 1610667153000},{'$date': 1610667153000},{'$date': 1610667153000},250.0,10.00,FINISHED,{'$oid': '6000d4900a7214ad4c000064'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d46cfb296c121a81b20c,1.0
294,{'$date': 1610667196000},{'$date': 1610667196000},{'$date': 1613345597000},8700.0,,,{'$date': 1610667197000},,290.00,FLAGGED,{'$oid': '6000d4bc0a7214ad4c000070'},,6000d46cfb296c121a81b20c,10.0
295,{'$date': 1610646196000},{'$date': 1610646196000},{'$date': 1610582400000},,,,{'$date': 1610646391000},,4.00,REJECTED,{'$oid': '600082b40a720f05f3000058'},,5e56d38507a0df22a15dfc85,4.0
296,{'$date': 1610667180000},{'$date': 1610667180000},{'$date': 1610582400000},250.0,{'$date': 1610667181000},{'$date': 1610667181000},{'$date': 1610667185000},250.0,23.00,FINISHED,{'$oid': '6000d4ac0a7214ad4c000069'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000d4abe2571211db395b5c,3.0
297,{'$date': 1610634970000},{'$date': 1610634970000},{'$date': 1610548570000},5.0,{'$date': 1610634971000},{'$date': 1610634970000},{'$date': 1610634976000},5.0,11.00,FINISHED,{'$oid': '600056da0a720f05f3000048'},All-receipts receipt bonus,600056a3f7e5b011fce897b0,2.0
298,{'$date': 1610659929000},{'$date': 1610659929000},{'$date': 1610573529000},5.0,{'$date': 1610659930000},{'$date': 1610659930000},{'$date': 1610659930000},5.0,18.20,FINISHED,{'$oid': '6000b8590a7214ad4c000057'},All-receipts receipt bonus,6000b7aefb296c121a8198b1,4.0
299,{'$date': 1610634986000},{'$date': 1610634986000},{'$date': 1610548586000},25.0,,,{'$date': 1610634986000},25.0,1.00,FLAGGED,{'$oid': '600056ea0a720f05f300004b'},COMPLETE_NONPARTNER_RECEIPT,600056a3f7e5b011fce897b0,1.0
300,{'$date': 1610745332787},{'$date': 1610745332787},,,,,{'$date': 1610745332787},,,SUBMITTED,{'$oid': '600205f60a7214ad4c00007b'},,6000b75bbe5fc96dfee1d4d3,
301,{'$date': 1610745344000},{'$date': 1610745344000},{'$date': 1610150400000},855.7,{'$date': 1610745437000},{'$date': 1610745437000},{'$date': 1610745447000},750.0,271.63,FINISHED,{'$oid': '600206000a720f05f3000087'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000b75bbe5fc96dfee1d4d3,86.0
302,{'$date': 1610726161788},{'$date': 1610726161788},,,,,{'$date': 1610726161788},,,SUBMITTED,{'$oid': '6001bb110a720f05f3000085'},,6000b75bbe5fc96dfee1d4d3,
303,{'$date': 1610745895000},{'$date': 1610745895000},{'$date': 1610150400000},605.7,{'$date': 1610745979000},{'$date': 1610745979000},{'$date': 1610745989000},500.0,427.81,FINISHED,{'$oid': '600208270a720f05f3000088'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000b75bbe5fc96dfee1d4d3,103.0
304,{'$date': 1610736550344},{'$date': 1610736550344},,,,,{'$date': 1610736550344},,,SUBMITTED,{'$oid': '6001e3a80a7214ad4c000078'},,5a43c08fe4b014fd6b6a0612,
305,{'$date': 1610838896000},{'$date': 1610838896000},{'$date': 1610755200000},2416.7,{'$date': 1610839790000},{'$date': 1610839790000},{'$date': 1610839900000},750.0,803.48,FINISHED,{'$oid': '600373700a720f05f3000091'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60037329e257124ec6b99eeb,211.0
306,{'$date': 1610759823000},{'$date': 1610759823000},{'$date': 1609804800000},1806.4,{'$date': 1610760244000},{'$date': 1610760244000},{'$date': 1610760290000},750.0,776.79,FINISHED,{'$oid': '60023e8f0a720f05f300008b'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60023de5fb296c121a81b955,202.0
307,{'$date': 1610762189008},{'$date': 1610762189008},,,,,{'$date': 1610762189008},,,SUBMITTED,{'$oid': '600247cd0a7214ad4c00007e'},,6002475cfb296c121a81b98d,
308,{'$date': 1610768055941},{'$date': 1610768055941},,,,,{'$date': 1610768055941},,,SUBMITTED,{'$oid': '60025eb70a720f05f300008e'},,60025c65fb296c4ef805d9e6,
309,{'$date': 1610747178000},{'$date': 1610747178000},{'$date': 1610150400000},405.7,{'$date': 1610747385000},{'$date': 1610747385000},{'$date': 1610759601000},300.0,373.55,FINISHED,{'$oid': '60020d2a0a720f05f300008a'},"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000b75bbe5fc96dfee1d4d3,93.0
310,{'$date': 1610766604000},{'$date': 1610766604000},{'$date': 1610582400000},1516.9,{'$date': 1610767135000},{'$date': 1610767135000},{'$date': 1610767152000},750.0,746.94,FINISHED,{'$oid': '6002590c0a7214ad4c000082'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600258dafb296c4ef805d9b7,208.0
311,{'$date': 1610765397711},{'$date': 1610765397711},,,,,{'$date': 1610765397711},,,SUBMITTED,{'$oid': '600254550a720f05f300008c'},,6002541ae257124ec6b99a3a,
312,{'$date': 1610764192583},{'$date': 1610764192583},,,,,{'$date': 1610764192583},,,SUBMITTED,{'$oid': '60024fa00a7214ad4c00007f'},,60024f24e257124ec6b99a13,
313,{'$date': 1610768213488},{'$date': 1610768213488},,,,,{'$date': 1610768213488},,,SUBMITTED,{'$oid': '60025f550a7214ad4c000084'},,60025c65fb296c4ef805d9e6,
314,{'$date': 1610767544000},{'$date': 1610767544000},{'$date': 1610668800000},1658.3,{'$date': 1610767915000},{'$date': 1610767915000},{'$date': 1610767925000},750.0,1177.84,FINISHED,{'$oid': '60025cb80a720f05f300008d'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60025c65fb296c4ef805d9e6,335.0
315,{'$date': 1610838053000},{'$date': 1610838053000},{'$date': 1610755200000},2685.8,{'$date': 1610838543000},{'$date': 1610838543000},{'$date': 1610838569000},750.0,850.49,FINISHED,{'$oid': '600370250a720f05f3000090'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60037005e257124ec6b99ec2,240.0
316,{'$date': 1610766414000},{'$date': 1610766414000},{'$date': 1610668800000},879.1,{'$date': 1610766420000},{'$date': 1610766420000},{'$date': 1610766425000},750.0,30.65,FINISHED,{'$oid': '6002584e0a7214ad4c000081'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6002541ae257124ec6b99a3a,6.0
317,{'$date': 1610746614000},{'$date': 1610746614000},{'$date': 1610668800000},250.0,{'$date': 1610746985000},{'$date': 1610746985000},{'$date': 1610759601000},250.0,3.99,FINISHED,{'$oid': '60020af60a720f05f3000089'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6000b75bbe5fc96dfee1d4d3,1.0
318,{'$date': 1610768417000},{'$date': 1610768417000},{'$date': 1610668800000},3659.4,{'$date': 1610768846000},{'$date': 1610768846000},{'$date': 1610768851000},750.0,1043.18,FINISHED,{'$oid': '600260210a720f05f300008f'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60025fe0e257124ec6b99a87,309.0
319,{'$date': 1610914022166},{'$date': 1610914022166},,,,,{'$date': 1610914022166},,,SUBMITTED,{'$oid': '600498e60a720f05f3000093'},,600498c4e257124ec6b9a331,
320,{'$date': 1610840912000},{'$date': 1610840912000},{'$date': 1610755200000},934.4,{'$date': 1610841795000},{'$date': 1610841795000},{'$date': 1610841862000},750.0,118.05,FINISHED,{'$oid': '60037b500a7214ad4c000086'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60037a94fb296c4ef805ddbe,39.0
321,{'$date': 1610917362000},{'$date': 1610917362000},{'$date': 1610150400000},877.7,{'$date': 1610917784000},{'$date': 1610917784000},{'$date': 1610918055000},750.0,574.16,FINISHED,{'$oid': '6004a5f20a7214ad4c000088'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6004a5d3fb296c4ef805e256,164.0
322,{'$date': 1610913333568},{'$date': 1610913333568},,,,,{'$date': 1610913333568},,,SUBMITTED,{'$oid': '600496350a7214ad4c000087'},,600495c3fb296c4ef805e1fc,
323,{'$date': 1610911250431},{'$date': 1610911250431},,,,,{'$date': 1610911250431},,,SUBMITTED,{'$oid': '60048e120a720f05f3000092'},,5fa32b4d898c7a11a6bcebce,
324,{'$date': 1610915229000},{'$date': 1610915229000},{'$date': 1609459200000},922.1,{'$date': 1610916036000},{'$date': 1610916036000},{'$date': 1610916077000},750.0,743.79,FINISHED,{'$oid': '60049d9d0a720f05f3000094'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",60049cdce257124ec6b9a353,212.0
325,{'$date': 1611001356000},{'$date': 1611001356000},{'$date': 1610841600000},800.0,,,{'$date': 1611001389000},750.0,10.00,FLAGGED,{'$oid': '6005ee0e0a7214ad4c000089'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fb0a078be5fc9775c1f3945,2.0
326,{'$date': 1610987021857},{'$date': 1610987021857},,,,,{'$date': 1610987021857},,,SUBMITTED,{'$oid': '6005b60f0a720f05f3000096'},,5a43c08fe4b014fd6b6a0612,
327,{'$date': 1610918301000},{'$date': 1610918301000},{'$date': 1610150400000},1541.8,{'$date': 1610918798000},{'$date': 1610918798000},{'$date': 1610982060000},750.0,574.65,FINISHED,{'$oid': '6004a99e0a720f05f3000095'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6004a965e257124ec6b9a39f,167.0
328,{'$date': 1611003203747},{'$date': 1611003203747},,,,,{'$date': 1611003203747},,,SUBMITTED,{'$oid': '6005f5450a720f05f3000097'},,5a43c08fe4b014fd6b6a0612,
329,{'$date': 1610740295000},{'$date': 1610740295000},{'$date': 1610496000000},750.0,{'$date': 1611001614000},{'$date': 1611001614000},{'$date': 1611001626000},750.0,1.00,FINISHED,{'$oid': '6001f2470a7214ad4c00007a'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5fb0a078be5fc9775c1f3945,1.0
330,{'$date': 1611090879000},{'$date': 1611090879000},{'$date': 1611004479000},5.0,{'$date': 1611090880000},{'$date': 1611090880000},{'$date': 1611090880000},5.0,10.00,FINISHED,{'$oid': '60074bbf0a720f05fa000039'},All-receipts receipt bonus,60074b49325c8a1794623876,1.0
331,{'$date': 1611088382000},{'$date': 1611088382000},{'$date': 1610604000000},1000.0,{'$date': 1611088386000},{'$date': 1611088386000},{'$date': 1611088386000},750.0,49.95,FINISHED,{'$oid': '600741fe0a7214ad89000001'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600741d06e6469120a787853,5.0
332,{'$date': 1611090827000},{'$date': 1611090827000},{'$date': 1611004427000},5.0,{'$date': 1611090827000},{'$date': 1611090827000},{'$date': 1611090827000},5.0,4.66,FINISHED,{'$oid': '60074b8b0a7214ad89000029'},All-receipts receipt bonus,60074b49325c8a1794623876,4.0
333,{'$date': 1611088444000},{'$date': 1611088444000},{'$date': 1611002044000},755.0,{'$date': 1611088445000},{'$date': 1611088445000},{'$date': 1611088445000},750.0,1.00,FINISHED,{'$oid': '6007423c0a720f05fa000001'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6007423b6e6469120a787c2c,1.0
334,{'$date': 1611090020000},{'$date': 1611090020000},{'$date': 1611090020000},350.0,{'$date': 1611090020000},{'$date': 1611090020000},{'$date': 1611090020000},,9.99,FINISHED,{'$oid': '600748640a720f05fa000026'},,600748196e64691717e8d4f0,1.0
335,{'$date': 1611090877000},{'$date': 1611090877000},{'$date': 1610776800000},125.0,{'$date': 1611090877000},{'$date': 1611090877000},{'$date': 1611090877000},,25.00,FINISHED,{'$oid': '60074bbd0a7214ad89000031'},,60074b49325c8a1794623876,5.0
336,{'$date': 1611089614000},{'$date': 1611089614000},{'$date': 1611003214000},50.0,{'$date': 1611089615000},{'$date': 1611089615000},{'$date': 1611089615000},45.0,1.00,FINISHED,{'$oid': '600746ce0a720f05fa000017'},COMPLETE_PARTNER_RECEIPT,6007464b6e64691717e8c1f0,1.0
337,{'$date': 1611088478000},{'$date': 1611088478000},{'$date': 1611002078000},5.0,{'$date': 1611088479000},{'$date': 1611088479000},{'$date': 1611088479000},5.0,1.00,FINISHED,{'$oid': '6007425e0a720f05fa00000a'},All-receipts receipt bonus,600741d06e6469120a787853,1.0
338,{'$date': 1611090835000},{'$date': 1611090835000},{'$date': 1611004435000},50.0,{'$date': 1611090836000},{'$date': 1611090836000},{'$date': 1611090836000},45.0,1.00,FINISHED,{'$oid': '60074b930a7214ad8900002d'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
339,{'$date': 1611089659000},{'$date': 1611089659000},{'$date': 1611003259000},50.0,{'$date': 1611089660000},{'$date': 1611089660000},{'$date': 1611089660000},45.0,1.00,FINISHED,{'$oid': '600746fb0a7214ad8900001b'},COMPLETE_PARTNER_RECEIPT,54943462e4b07e684157a532,1.0
340,{'$date': 1611088457000},{'$date': 1611088457000},{'$date': 1610776800000},250.0,{'$date': 1611088458000},{'$date': 1611088458000},{'$date': 1611088458000},250.0,25.00,FINISHED,{'$oid': '600742490a720f05fa000004'},"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600741d06e6469120a787853,5.0
341,{'$date': 1611090891000},{'$date': 1611090891000},{'$date': 1611004491000},5.0,{'$date': 1611090891000},{'$date': 1611090891000},{'$date': 1611090891000},5.0,1.00,FINISHED,{'$oid': '60074bcb0a7214ad89000037'},All-receipts receipt bonus,60074b49325c8a1794623876,1.0
342,{'$date': 1611088461000},{'$date': 1611088461000},{'$date': 1611002061000},150.0,{'$date': 1611088461000},{'$date': 1611088461000},{'$date': 1611088461000},150.0,10.00,FINISHED,{'$oid': '6007424d0a720f05fa000006'},"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600741d06e6469120a787853,1.0
343,{'$date': 1611090832000},{'$date': 1611090832000},{'$date': 1609967632000},5.0,{'$date': 1611090833000},{'$date': 1611090833000},{'$date': 1611090833000},5.0,1.00,FINISHED,{'$oid': '60074b900a7214ad8900002b'},All-receipts receipt bonus,54943462e4b07e684157a532,1.0
344,{'$date': 1611090892000},{'$date': 1611090892000},{'$date': 1610604000000},5.0,{'$date': 1611090893000},{'$date': 1611090893000},{'$date': 1611090893000},5.0,49.95,FINISHED,{'$oid': '60074bcc0a7214ad89000038'},All-receipts receipt bonus,60074b49325c8a1794623876,5.0
345,{'$date': 1611089661000},{'$date': 1611089661000},{'$date': 1611003261000},755.0,{'$date': 1611089661000},{'$date': 1611089661000},{'$date': 1611089661000},750.0,1.00,FINISHED,{'$oid': '600746fd0a720f05fa00001f'},"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600746fd6e64691717e8cfb5,1.0
346,{'$date': 1611068113000},{'$date': 1611068113000},{'$date': 1610928000000},574.4,{'$date': 1611068129000},{'$date': 1611068129000},{'$date': 1611068131000},500.0,30.57,FINISHED,{'$oid': '6006f2d10a7214ad4c00008b'},"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",6006f1c5e257127d5d9aedfb,14.0
347,{'$date': 1611089642000},{'$date': 1611089642000},{'$date': 1611003242000},50.6,{'$date': 1611089642000},{'$date': 1611089642000},{'$date': 1611089642000},27.0,4.66,FINISHED,{'$oid': '600746ea0a720f05fa00001b'},COMPLETE_PARTNER_RECEIPT,6007464b6e64691717e8c1f0,4.0
348,{'$date': 1611089625000},{'$date': 1611089625000},{'$date': 1611003225000},5.0,{'$date': 1611089625000},{'$date': 1611089625000},{'$date': 1611089625000},5.0,4.66,FINISHED,{'$oid': '600746d90a7214ad89000015'},All-receipts receipt bonus,6007464b6e64691717e8c1f0,4.0
349,{'$date': 1611089606000},{'$date': 1611089606000},{'$date': 1609707206000},5.0,{'$date': 1611089607000},{'$date': 1611089607000},{'$date': 1611089607000},5.0,1.00,FINISHED,{'$oid': '600746c60a7214ad89000011'},All-receipts receipt bonus,6007464b6e64691717e8c1f0,1.0
350,{'$date': 1611089613000},{'$date': 1611089613000},{'$date': 1610085600000},5.0,{'$date': 1611089613000},{'$date': 1611089613000},{'$date': 1611089613000},5.0,49.95,FINISHED,{'$oid': '600746cd0a7214ad89000013'},All-receipts receipt bonus,6007464b6e64691717e8c1f0,5.0
